Abelmoschus esculentus	(L.) Moench
Albizia procera	(Roxb.) Benth.
Alcea rosea	L.
Alchornea latifolia	Sw.
Alchorneopsis floribunda	(Benth.) Müll. Arg.
Alchorneopsis floribunda	(Benth.) Müll.Arg.
Alchorneopsis portoricensis	Urb.
Alectra fluminensis	(Vell.) Stearn
Aleurites moluccanus	(L.) Willd.
Allamanda blanchetii	A. DC.
Allamanda cathartica	L.
Allamanda schottii	Pohl
Allophylus crassinervis	Radlk.
Allophylus racemosus	Sw.
Allosidastrum pyramidatum	(Cav.) Krapov., Fryxell & D.M. Bates
Alocasia macrorrhizos	(L.) G. Don
Alocasia plumbea	K. Koch ex Van Houtte
Aloe vera	(L.) Burm. f.
Aloysia triphylla	(L'Hér.) Britton
Alpinia purpurata	(Vieill.) K. Schum.
Alpinia purpurata	(Vieill.) K.Schum.
Alpinia zerumbet	(Pers.) B.L. Burtt & R.M. Sm.
Alsophila amintae	Conant
Alsophila brooksii	(Maxon) R. Tryon
Alsophila bryophila	R. Tryon
Alsophila portoricensis	(Spreng. ex Kuhn) Conant
Alsophila portoricensis	(Spreng. ex Kuhn) D.S. Conant
Alternanthera bettzichiana	(Regel) Voss
Alternanthera brasiliana	(L.) Kuntze
Alternanthera caracasana	Kunth
Alternanthera crucis	(Moq.) Boldingh
Alternanthera ficoidea	(L.) P. Beauv.
Alternanthera flavescens	Kunth
Alternanthera paronychioides	A. St.-Hil.
Alternanthera philoxeroides	(Mart.) Griseb.
Alternanthera pungens	Kunth
Alternanthera sessilis	(L.) R. Br. ex DC.
Alysicarpus vaginalis	(L.) DC.
Amaranthus australis	(A. Gray) Sauer
Amaranthus blitum	L.
Amaranthus caudatus	L.
Amaranthus crassipes	Schltdl.
Amaranthus cruentus	L.
Amaranthus dubius	Mart. ex Thell.
Amaranthus spinosus	L.
Amaranthus tricolor	L.
Ambrosia confertiflora	DC.
Ambrosia hispida	Pursh
Ambrosia peruviana	Willd.
Ambrosia tenuifolia	Spreng.
Ammannia auriculata	Willd.
Ammannia baccifera	L.
Ammannia coccinea	Rottb.
Ammannia latifolia	L.
Amphilophium paniculatum	(L.) Kunth
Amphitecna latifolia	(Mill.) A.H. Gentry
Amyris balsamifera	L.
Amyris elemifera	L.
Anacardium occidentale	L.
Anadenanthera peregrina	(L.) Speg.
Anagallis arvensis	L.
Ananas comosus	(L.) Merr.
Andira inermis	(Wright)DC.
Andira inermis	(W. Wright) Kunth ex DC.
Andropogon bicornis	L.
Andropogon glomeratus	(Walter) Britton, Sterns & Poggenb.
Andropogon gracilis	Spreng.
Andropogon leucostachyus	Kunth
Andropogon virginicus	L.
Anechites nerium	(Aubl.) Urb.
Anemia adiantifolia	(L.) Sw.
Anemia hirsuta	(L.) Sw.
Anemia hirta	(L.) Sw.
Anemia portoricensis	Maxon
Anethum graveolens	L.
Anetium citrifolium	(L.) Splitg.
Angelonia salicariifolia	Humb. & Bonpl.
Aniba bracteata	(Nees) Mez
Aniseia martinicensis	(Jacq.) Choisy
Annona cherimola	Mill.
Annona glabra	L.
Annona montana	Macfad.
Annona muricata	L.
Annona reticulata	L.
Annona squamosa	L.
Anoda cristata	(L.) Schltdl.
Anopteris hexagona	(L.) C. Chr.
Anredera cordifolia	(Ten.) Steenis
Anredera vesicaria	(Lam.) C.F. Gaertn.
Anthephora hermaphrodita	(L.) Kuntze
Anthurium andraeanum	Linden ex André
Anthurium cordatum	(L.) Schott
Anthurium crenatum	(L.) Kunth
Anthurium dominicense	Schott
Anthurium scandens	(Aubl.) Engl.
Antidaphne wrightii	(Griseb.) Kuijt
Antigonon guatemalense	Meisn.
Antigonon leptopus	Hook. & Arn.
Antirhea acutata	(DC.) Urb.
Antirhea coriacea	(Vahl) Urb.
Antirhea lucida	(Sw.) Hook. f.
Antirhea obtusifolia	Urb.
Antirhea portoricensis	(Britton & P. Wilson) Standl.
Antirhea sintenisii	Urb.
Antrophyum cajenense	(Desv.) Spreng.
Antrophyum intramarginale	(Baker ex Jenman) Kartesz & Gandhi
Antrophyum lanceolatum	(L.) Kaulf.
Antrophyum lineatum	(Sw.) Kaulf.
Antrophyum urbanii	Brause
Apteria aphylla	(Nutt.) Barnhart ex Small
Arachis hypogaea	L.
Arachis repens	Handro
Arachniodes chaerophylloides	(Poir.) Proctor
Ardisia glauciflora	Urb.
Ardisia luquillensis	(Britton) Alain
Ardisia obovata	Desv. ex Ham.
Ardisia solanacea	Roxb.
Argemone mexicana	L.
Argusia gnaphalodes	(L.) Heine
Argyreia nervosa	(Burm. f.) Bojer
Argythamnia candicans	Sw.
Argythamnia fasciculata	(Vahl ex A. Juss.) Müll. Arg.
Argythamnia stahlii	Urb.
Aristida adscensionis	L.
Aristida chaseae	Hitchc.
Aristida portoricensis	Pilg.
Aristida refracta	Griseb.
Aristida spiciformis	Elliott
Aristida suringarii	Henr.
Aristida swartziana	Steud.
Aristolochia bilabiata	L.
Aristolochia elegans	Mast.
Aristolochia ringens	Vahl
Aristolochia trilobata	L.
Arrabidaea chica	(Humb. & Bonpl.) Verl.
Arracacia xanthorrhiza	E.N. Bancroft
Arthraxon castratus	(Griffiths) Naray. ex Bor
Arthrostemma fragile	Lindl.
Arthrostylidium farctum	(Aubl.) Soderstr. & Lourteig.
Arthrostylidium multispicatum	Pilg.
Arthrostylidium sarmentosum	Pilg.
Artocarpus altilis	(Parkinson ex F.A.Zorn) Fosberg
Artocarpus altilis	(Parkinson) Fosberg
Artocarpus heterophyllus	Lam.
Arundina graminifolia	(D. Don) Hochr.
Arundina graminifolia	(D.Don) Hochr.
Arundinella hispida	(Humb. & Bonpl. ex Willd.) Kuntze
Arundinella hispida	(Willd.) Kuntze
Arundo donax	L.
Asclepias curassavica	L.
Asclepias nivea	L.
Asparagus aethiopicus	L.
Asparagus setaceus	(Kunth) Jessop
Asplenium abscissum	Willd.
Asplenium auriculatum	Sw.
Asplenium cirrhatum	Rich. ex Willd.
Asplenium corderoanum	Proctor
Asplenium cristatum	Lam.
Asplenium cuneatum	Lam.
Asplenium erosum	L.
Asplenium feei	Kunze ex Fée
Asplenium flabellulatum	Kunze
Asplenium formosum	Willd.
Asplenium heterochroum	Kunze
Asplenium juglandifolium	Lam.
Asplenium laetum	Sw.
Asplenium obtusifolium	L.
Asplenium ocoense	C. Chr.
Asplenium pseudoerectum	Hieron.
Asplenium pteropus	Kaulf.
Asplenium pumilum	Sw.
Asplenium radicans	L.
Asplenium rhomboidale	Desv.
Asplenium rutaceum	(Willd.) Mett.
Asplenium salicifolium	L.
Asplenium serra	Langsd. & Fisch.
Asplenium serratum	L.
Asplenium sessilifolium	Desv.
Asplenium trichomanes-dentatum	L.
Asplenium uniseriale	Raddi
Asplenium verecundum	Chapm. ex Underw.
Astrolepis sinuata	(Lag. ex Sw.) Benham & Windham
Asystasia gangetica	(L.) T. Anderson
Atriplex cristata	Humb. & Bonpl. ex Willd.
Atriplex littoralis	L.
Auerodendron pauciflorum	Alain
Avena sativa	L.
Averrhoa carambola	L.
Avicennia germinans	(L.) L.
Axonopus aureus	P. Beauv.
Axonopus compressus	(Sw.) P. Beauv.
Axonopus compressus	(Sw.) P.Beauv.
Axonopus fissifolius	(Raddi) Kuhlm.
Ayenia ardua	Cristobal
Ayenia insulicola	Cristobal
Azadirachta indica	A. Juss.
Azolla caroliniana	Willd.
Baccharis dioica	Vahl
Baccharis myrsinites	(Lam.) Pers.
Bacopa innominata	(G. Maza) Alain
Bacopa monnieri	(L.) Pennell
Bacopa monnieri	(L.) Wettst.
Bacopa repens	(Sw.) Wettst.
Bacopa stricta	(Schrad.) B.L. Rob.
Bacopa stricta	(Schrad.) Wettst. ex Edwall
Bambusa multiplex	(Lour.) Raeusch. ex Schult. & Schult. f.
Bambusa vulgaris	Schrad.
Bambusa vulgaris	Schrad. ex J.C. Wendl.
Banara portoricensis	Krug & Urb.
Banara vanderbiltii	Urb.
Banisteriopsis lucida	(Rich.) Small
Barbieria pinnata	(Pers.) Baill.
Barbieria pinnata	(Pers.)Baill.
Barleria cristata	L.
Barleria lupulina	Lindl.
Barleria prionitis	L.
Barleriola solanifolia	(L.) Oerst. ex Lindau
Barringtonia asiatica	(L.) Kurz
Basella alba	L.
Basiphyllaea corallicola	(Small) Ames
Bastardia bivalvis	(Cav.) Kunth
Bastardia viscosa	(L.) Kunth
Bastardiopsis eggersii	(Baker f.) Fuertes & Fryxell
Batis maritima	L.
Bauhinia galpinii	N.E. Br.
Bauhinia monandra	Kurz
Bauhinia multinervia	(Kunth) DC.
Bauhinia pauletia	Pers.
Bauhinia purpurea	L.
Bauhinia tomentosa	L.
Bauhinia variegata	L.
Begonia coccinea	Hook.
Begonia convolvulacea	A. DC.
Begonia cucullata	Willd.
Begonia decandra	Pav. ex A. DC.
Begonia decandra	Pav. ex A.DC.
Begonia heracleifolia	Cham. & Schltdl.
Begonia hirtella	Link
Begonia nelumbiifolia	Cham. & Schltdl.
Beilschmiedia pendula	(Sw.) Hemsl.
Belamcanda chinensis	(L.) DC.
Bernardia dichotoma	(Willd.) Müll. Arg.
Beta vulgaris	L.
Bidens alba	(L.) DC.
Bidens cynapiifolia	Kunth
Bidens pilosa	L.
Bidens reptans	(L.) G. Don
Billbergia pyramidalis	(Sims) Lindl.
Bixa orellana	L.
Blechnum divergens	(Kunze) Mett.
Blechnum fragile	(Liebm.) Morton & Lellinger
Blechnum insularum	Morton & Lellinger
Blechnum lineatum	(Sw.) C. Chr.
Blechnum occidentale	L.
Blechnum polypodioides	Raddi
Blechnum serrulatum	Rich.
Bletia patula	Graham
Blighia sapida	K.D. Koenig
Blutaparon vermiculare	(L.) Mears
Bocconia frutescens	L.
Boehmeria cylindrica	(L.) Sw.
Boehmeria nivea	(L.) Gaudich.
Boehmeria repens	(Griseb.) Weddell
Boerhavia coccinea	Mill.
Boerhavia diffusa	L.
Boerhavia erecta	L.
Boerhavia scandens	L.
Bolbitis aliena	(Sw.) Alston
Bolbitis nicotianifolia	(Sw.) Alston
Bolbitis pergamentacea	(Maxon) Ching
Bolbitis portoricensis	(Spreng.) Hennipman
Bontia daphnoides	L.
Borrichia arborescens	(L.) DC.
Bothriochloa ischaemum	(L.) Keng
Bothriochloa pertusa	(L.) A. Camus
Bothriochloa saccharoides	(Sw.) Rydb.
Botrychium jenmanii	Underw.
Bouchea prismatica	(L.) Kuntze
Bougainvillea glabra	Choisy
Bougainvillea spectabilis	Willd.
Bourreria radula	(Poir.) G. Don
Bourreria succulenta	Jacq.
Bourreria virgata	(Sw.) G. Don
Bouteloua americana	(L.) Scribn.
Bouteloua juncea	(Desv. ex P. Beauv.) Hitchc.
Bouteloua repens	(Kunth) Scribn. & Merr.
Brachionidium ciliolatum	Garay
Brachionidium sherringii	Rolfe
Brachyelytrum erectum	(Schreb. ex Spreng.) P. Beauv.
Bracteantha bracteata	(Vent.) Anderb. & Heagi
Brasiliopuntia brasiliensis	(Willd.) A. Berger
Brassavola cucullata	(L.) R. Br.
Brassavola nodosa	(L.) Lindl.
Brassica juncea	(L.) Czern.
Brassica oleracea	L.
Breynia disticha	J.R. Forst. & G. Forst.
Bromelia pinguin	L.
Broughtonia domingensis	(Lindl.) Rolfe
Browallia americana	L.
Brugmansia ×candida	Pers. (pro sp.)
Brugmansia suaveolens	(Humb. & Bonpl. ex Willd.) Bercht. & C. Presl
Brunellia comocladiifolia	Humb. & Bonpl.
Brunfelsia americana	L.
Brunfelsia densifolia	Krug & Urb.
Brunfelsia lactea	Krug & Urb.
Brunfelsia nitida	Benth.
Brunfelsia portoricensis	Krug & Urb.
Brya ebenus	(L.) DC.
Buchenavia tetraphylla	(Aubl.) Howard
Buchenavia tetraphylla	(Aubl.) R.A.Howard
Buchnera americana	L.
Buchnera longifolia	Kunth
Bucida buceras	L.
Buddleja davidii	Franch.
Buddleja madagascariensis	Lam.
Bulbophyllum pachyrachis	(A. Rich.) Griseb.
Bulbostylis antillana	(Britton) Fernald
Bulbostylis capillaris	(L.) Kunth ex C.B. Clarke
Bulbostylis curassavica	(Britton) Britton ex Kük.
Bulbostylis juncoides	(Vahl) Kük.
Bulbostylis pauciflora	(Liebm.) C.B. Clarke
Bulbostylis stenocarpa	Kük.
Bulbostylis subaphylla	C.B. Clarke
Bulbostylis vestita	(Kunth) C.B. Clarke
Bunchosia glandulifera	(Jacq.) Kunth
Bunchosia glandulosa	(Cav.) DC.
Bunchosia polystachia	(Andrews) DC.
Burmannia biflora	L.
Burmannia capitata	(J.F. Gmel.) Mart.
Bursera simaruba	(L.) Sarg.
Buxus portoricensis	Alain
Buxus vahlii	Baill.
Byrsonima crassifolia	(L.) Kunth
Byrsonima lucida	(Mill.) DC.
Byrsonima spicata	(Cav.) Kunth
Byrsonima spicata	(Cav.) Rich. ex Kunth
Byrsonima wadsworthii	Little
Cabomba furcata	Schult. & Schult. f.
Cabomba haynesii	Wiersema
Caesalpinia bonduc	(L.) Roxb.
Caesalpinia ciliata	(Bergius ex Wikstr.) Urb.
Caesalpinia coriaria	(Jacq.) Willd.
Caesalpinia culebrae	(Britton & P. Wilson) Alain
Caesalpinia decapetala	(Roth) Alston
Caesalpinia divergens	Urb.
Caesalpinia gilliesii	(Wall. ex Hook.) Wall. ex D. Dietr.
Caesalpinia major	(Medik.) Dandy & Exell
Caesalpinia monensis	Britton
Caesalpinia portoricensis	(Britton & P. Wilson) Alain
Caesalpinia pulcherrima	(L.) Sw.
Cajanus cajan	(L.) Millsp.
Cakile lanceolata	(Willd.) O.E. Schulz
Caladium bicolor	(Aiton) Vent.
Calathea allouia	(Aubl.) Lindl.
Calathea crotalifera	S. Watson
Calathea lutea	(Aubl.) Schult.
Calathea zebrina	(Sims) Lindl.
Calliandra haematomma	(Bertero ex DC.) Benth.
Calliandra locoensis	R. Garcia & D. Kolterman
Calliandra surinamensis	Benth.
Callicarpa ampla	Schauer
Callisia fragrans	(Lindl.) Woodson
Callisia monandra	(Sw.) Schult. & Schult. f.
Callisia repens	(Jacq.) L.
Callistemon citrinus	(Curtis) Skeels
Caloncoba echinata	(Oliv.) Gilg
Calophyllum antillanum	Britton
Calophyllum inophyllum	L.
Calopogonium caeruleum	(Benth.) Suav.
Calopogonium mucunoides	Desv.
Calotropis procera	(Aiton) W.T. Aiton
Calycophyllum candidissimum	(Vahl) DC.
Calyptranthes acevedoi	Alain
Calyptranthes estremenae	Alain
Calyptranthes krugii	Kiaersk.
Calyptranthes luquillensis	Alain
Calyptranthes martorellii	Alain
Calyptranthes pallens	Griseb.
Calyptranthes peduncularis	Alain
Calyptranthes portoricensis	Britton
Calyptranthes sintenisii	Kiaersk.
Calyptranthes thomasiana	Berg
Calyptranthes triflora	Alain
Calyptranthes woodburyi	Alain
Calyptranthes zuzygium	(L.) Sw.
Calyptronoma rivalis	(O.F. Cook) L.H. Bailey
Campylocentrum fasciolum	(Lindl.) Cogn.
Campylocentrum filiforme	(Sw.) Cogn. ex Kuntze
Campylocentrum micranthum	(Lindl.) Maury
Campylocentrum micranthum	(Lindl.) Rolfe
Campylocentrum pachyrrhizum	(Rchb. f.) Rolfe
Campylocentrum pygmaeum	Cogn.
Campyloneurum angustifolium	(Sw.) Fée
Campyloneurum brevifolium	(Lodd. ex Link) Link
Campyloneurum costatum	(Kunze) C. Presl
Campyloneurum latum	T. Moore
Campyloneurum phyllitidis	(L.) C. Presl
Campyloneurum repens	(Aubl.) C. Presl
Cananga odorata	(Lam.) Hook. f. & Thomson
Canavalia ensiformis	(L.) DC.
Canavalia nitida	(Cav.) Piper
Canavalia rosea	(Sw.) DC.
Canella winterana	(L.) Gaertn.
Cannabis sativa	L.
Canna glauca	L.
Canna indica	L.
Canna jaegeriana	Urb.
Canna pertusa	Urb.
Canna sylvestris	Roscoe
Caperonia palustris	(L.) A. St.-Hil.
Caperonia palustris	(L.) A.St.-Hil.
Capparis amplissima	Lam.
Capparis baducca	L.
Capparis cynophallophora	L.
Capparis flexuosa	(L.) L.
Capparis hastata	Jacq.
Capparis indica	(L.) Druce
Capraria biflora	L.
Capsicum annuum	L.
Cardamine flexuosa	With.
Cardiospermum corindum	L.
Cardiospermum halicacabum	L.
Cardiospermum microcarpum	Kunth
Carex longii	Mack.
Carex polystachya	Sw. ex Wahlenb.
Carica papaya	L.
Carissa macrocarpa	(Eckl.) A. DC.
Carludovica palmata	Ruiz & Pav.
Casearia aculeata	Jacq.
Casearia arborea	(Rich.) Urb.
Casearia decandra	Jacq.
Casearia guianensis	(Aubl.) Urb.
Casearia sylvestris	Sw.
Cassia fistula	L.
Cassia grandis	L. f.
Cassia javanica	L.
Cassine xylocarpa	Vent.
Cassipourea guianensis	Aubl.
Cassytha filiformis	L.
Castela erecta	Turp.
Castilla elastica	Sessé
Casuarina cunninghamiana	Miq.
Casuarina equisetifolia	L.
Casuarina lepidophloia	F. Muell.
Catalpa longissima	(Jacq.) Dum. Cours.
Catesbaea melanocarpa	Krug & Urb.
Catesbaea parviflora	Sw.
Catharanthus roseus	(L.) G. Don
Catopsis berteroniana	(Schult. & Schult. f.) Mez
Catopsis floribunda	L.B. Sm.
Catopsis floribunda	L.B.Sm.
Catopsis nitida	(Hook.) Griseb.
Catopsis nutans	(Sw.) Griseb.
Catopsis sessiliflora	(Ruiz & Pav.) Mez
Cayaponia americana	(Lam.) Cogn.
Cayaponia racemosa	(Mill.) Cogn.
Cecropia schreberiana	Miq.
Cedrela odorata	L.
Ceiba aesculifolia	(Kunth) Britten & Baker f.
Ceiba pentandra	(L.) Gaertn.
Celosia argentea	L.
Celosia nitida	Vahl
Celosia virgata	Jacq.
Celtis iguanaea	(Jacq.) Sarg.
Celtis trinervia	Lam.
Cenchrus brownii	Roem. & Schult.
Cenchrus echinatus	L.
Cenchrus gracillimus	Nash
Cenchrus myosuroides	Kunth
Cenchrus purpureus	(Schumach.) Morrone
Cenchrus spinifex	Cav.
Centella erecta	(L. f.) Fernald
Centratherum punctatum	Cass.
Centrosema molle	Mart. ex Benth.
Centrosema plumieri	(Turp. ex Pers.) Benth.
Centrosema pubescens	Benth.
Centrosema virginianum	(L.) Benth.
Ceratophyllum demersum	L.
Ceratopteris richardii	Brongn.
Ceratopteris thalictroides	(L.) Brongn.
Cereus hexagonus	(L.) Mill.
Cereus hildmannianus	K. Schum.
Cestrum alternifolium	(Jacq.) O.E. Schulz
Cestrum diurnum	L.
Cestrum laurifolium	L'Hér.
Cestrum macrophyllum	Vent.
Cestrum nocturnum	L.
Cestrum salicifolium	Jacq.
Chamaecrista diphylla	(L.) Greene
Chamaecrista glandulosa	(L.) Greene
Chamaecrista lineata	(Sw.) Greene
Chamaecrista nictitans	(L.) Moench
Chamaecrista portoricensis	(Urb.) O.F. Cook & G.N. Collins
Chamaecrista rotundifolia	(Pers.) Greene
Chamaesyce adenoptera	(Bertol.) Small
Chamaesyce articulata	(Burm.) Britton
Chamaesyce berteriana	(Balbis ex Spreng.) Millsp.
Chamaesyce blodgettii	(Engelm. ex Hitchc.) Small
Chamaesyce cowellii	Millsp. ex Britton
Chamaesyce hirta	(L.) Millsp.
Chamaesyce hypericifolia	(L.) Millsp.
Chamaesyce hyssopifolia	(L.) Small
Chamaesyce lasiocarpa	(Klotzsch) Arthur
Chamaesyce mesembrianthemifolia	(Jacq.) Dugand
Chamaesyce nutans	(Lag.) Small
Chamaesyce ophthalmica	(Pers.) Burch
Chamaesyce orbifolia	Alain
Chamaesyce prostrata	(Aiton) Small
Chamaesyce serpens	(Kunth) Small
Chamaesyce thymifolia	(L.) Millsp.
Chamaesyce turpinii	(Boiss.) Millsp.
Chamissoa altissima	(Jacq.) Kunth
Chaptalia albicans	(Sw.) Vent. ex Steud.
Chaptalia dentata	(L.) Cass.
Chaptalia nutans	(L.) Polak.
Cheilanthes microphylla	(Sw.) Sw.
Cheilanthes paupercula	(Kunze) Mett.
Cheilocostus speciosus	(J.Koenig) C.D.Specht
Cheiroglossa palmata	(L.) C. Presl
Chenopodium murale	L.
Chiococca alba	(L.) Hitchc.
Chiococca parvifolia	Wullschl. ex Griseb.
Chionanthus axilliflorus	(Griseb.) Stearn
Chionanthus compactus	Sw.
Chionanthus domingensis	Lam.
Chionanthus holdridgei	(Camp & Monachino) Stearn
Chionanthus ligustrinus	(Sw.) Pers.
Chione seminervis	Urb. & Ekman
Chione venosa	(Sw.) Urb.
Chloris barbata	Sw.
Chloris ciliata	Sw.
Chloris cubensis	Hitchc. & Ekman ex Hitchc.
Chloris elata	Desv.
Chloris radiata	(L.) Sw.
Chloris sagraeana	A. Rich.
Chorisia speciosa	A. St.-Hil.
Chromolaena borinquensis	(Britton) R.M. King & H. Rob.
Chromolaena corymbosa	(Aubl.) R.M. King & H. Rob.
Chromolaena geraniifolia	(Urb.) R.M. King & H. Rob.
Chromolaena ivifolia	(L.) R.M. King & H. Rob.
Chromolaena odorata	(L.) R.M. King & H. Rob.
Chromolaena oteroi	(Monachino) R.M. King & H. Rob.
Chromolaena sinuata	(Lam.) R.M. King & H. Rob.
Chrysobalanus icaco	L.
Chrysophyllum argenteum	Jacq.
Chrysophyllum cainito	L.
Chrysophyllum oliviforme	L.
Chrysophyllum pauciflorum	Lam.
Chrysothemis pulchella	(Donn ex Sims) Decne.
Chusquea abietifolia	Griseb.
Cicer arietinum	L.
Cinnamomum camphora	(L.) J. Presl
Cinnamomum elongatum	(Nees) Kosterm.
Cinnamomum elongatum	(Vahl ex Nees) Kosterm.
Cinnamomum montanum	(Sw.) Bercht. & J. Presl
Cinnamomum montanum	(Sw.) J.Presl
Cinnamomum verum	J. Presl
Cirsium mexicanum	DC.
Cissampelos pareira	L.
Cissus erosa	Rich.
Cissus intermedia	A. Rich.
Cissus obovata	Vahl
Cissus trifoliata	(L.) L.
Cissus tuberculata	Jacq.
Cissus verticillata	(L.) Nicolson & C.E.Jarvis
Cissus verticillata	(L.) Nicolson & Jarvis
Citharexylum caudatum	L.
Citharexylum ×perkinsii	Moldenke
Citharexylum spinosum	L.
Citrullus lanatus	(Thunb.) Matsum. & Nakai
Citrus ×aurantiifolia	(Christm.) Swingle (pro sp.)
Citrus ×aurantium	L. (pro sp.)
Citrus limetta	Risso
Citrus ×limonia	Osbeck (pro sp.)
Citrus ×limon	(L.) Burm. f. (pro sp.)
Citrus maxima	(Burm. f.) Merr.
Citrus medica	L.
Citrus paradisi	Macfad.
Citrus ×paradisi	Macfad. (pro sp.)
Citrus reticulata	Blanco
Citrus ×sinensis	(L.) Osbeck (pro sp.)
Citrus x aurantium	L.
Cladium colocasia	(L.) W. Wight
Cladium mariscus	(L.) Pohl
Clematis dioica	L.
Cleome aculeata	L.
Cleome gynandra	L.
Cleome hassleriana	Chod.
Cleome serrata	Jacq.
Cleome speciosa	Raf.
Cleome spinosa	Jacq.
Cleome stenophylla	Klotzsch ex Urb.
Cleome viscosa	L.
Clerodendrum aculeatum	(L.) Schltdl.
Clerodendrum bungei	Steud.
Clerodendrum chinense	(Osb.) Mabberley
Clerodendrum quadriloculare	(Blanco) Merr.
Clerodendrum speciosissimum	Van Geert ex C. Morren
Clerodendrum ×speciosum	Dombrain
Clerodendrum wallichii	Merr.
Cleyera albopunctata	(Griseb.) Krug & Urb.
Clibadium erosum	(Sw.) DC.
Clidemia angustilamina	W.S. Judd & Skean
Clidemia cymosa	(Wendl. ex Spreng.) Alain
Clidemia eggersii	(Cogn.) F.S.Axelrod
Clidemia hirta	(L.) D. Don
Clidemia strigillosa	(Sw.) DC.
Clitoria fairchildiana	Howard
Clitoria falcata	Lam.
Clitoria laurifolia	Poir.
Clitoria ternatea	L.
Clusia clusioides	(Griseb.) D'Arcy
Clusia gundlachii	Stahl
Clusia minor	L.
Clusia rosea	Jacq.
Cnemidaria horrida	(L.) C. Presl
Cnidoscolus aconitifolius	(Mill.) I.M. Johnst.
Coccocypselum herbaceum	Aubl.
Coccoloba costata	C. Wright ex Sauvalle
Coccoloba diversifolia	Jacq.
Coccoloba krugii	Lindau
Coccoloba microstachya	Willd.
Coccoloba pallida	C. Wright
Coccoloba pubescens	L.
Coccoloba pyrifolia	Desf.
Coccoloba rugosa	Desf.
Coccoloba sintenisii	Urb. ex Lindau
Coccoloba swartzii	Meisn.
Coccoloba tenuifolia	L.
Coccoloba uvifera	(L.) L.
Coccoloba venosa	L.
Coccothrinax barbadensis	(Lodd. ex Mart.) Becc.
Cochleanthes flabelliformis	(Sw.) R.E. Schult. & Garay
Cochleanthes flabelliformis	(Sw.) R.E.Schult. & Garay
Cochlidium jungens	Bishop
Cochlidium rostratum	(Hook.) Maxon ex C. Chr.
Cochlidium seminudum	(Willd.) Maxon
Cochlidium serrulatum	(Sw.) Bishop
Cochlidium serrulatum	(Sw.) L.E. Bishop
Cochlospermum vitifolium	(Willd.) Willd. ex Spreng.
Cocos nucifera	L.
Codariocalyx gyroides	(Roxb. ex Link) Hassk.
Codiaeum variegatum	(L.) A. Juss.
